매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
투썸플레이스 인천신포점,인천 중구 신포로 16-1 1층,,9,2300,2300,2300,5249,52,3676,29,740,1,0,10
투썸플레이스 인천신현점,인천 서구 가정로 370 2층,,9,3100,27000,890000,34237,38.1,11110,16,1000,0,0,12
투썸플레이스 인천연수역점,인천 연수구 벚꽃로 114 브랫슬 1층 103~105호,,9,4700,65000,940000,16329,39.1,9591,20,1280,0,0,21
투썸플레이스 인천영종운서점,"인천 중구 햇내로28번길 10 1,2층",,9,6000,31000,400000,10682,63.7,0,18,1840,0,0,2
투썸플레이스 인천영종하늘중앙로점,인천 중구 하늘중앙로225번길 3 영종M타워 1층,,9,3600,29000,1240000,23999,37.1,0,28,5250,0,0,15
투썸플레이스 인천옥련점,인천 연수구 독배로40번길 5 1층,,9,2600,14000,690000,26301,32.9,0,11,1430,2,0,17
투썸플레이스 인천용현점,인천 미추홀구 아암대로 87 1층,,9,4700,5400,510000,222230,40.6,0,11,1100,2,0,6
투썸플레이스 인천원당점,인천 서구 원당대로 866 원당세브란스빌딩 101호,,9,1500,3400,580000,22591,25.8,0,19,1010,0,1,15
투썸플레이스 인천인하대후문점,"인천 미추홀구 인하로 75 2,3층",,9,4200,13000,340000,12620,46.1,0,32,570,2,0,6
투썸플레이스 인천임학점,"인천 계양구 장제로 899-1 1, 2층",,9,2800,2800,740000,29582,41.6,14302,22,850,2,0,9
투썸플레이스 인천주안아인애비뉴점,인천 미추홀구 경인로 372 포레나아인애비뉴몰 201동 1층 1116호,,9,5000,300000,640000,30776,47.3,17504,29,860,0,0,11
투썸플레이스 인천주안역북부점,인천 미추홀구 석정로 433 영일빌딩 101호,,9,3000,12000,330000,26381,48.6,14907,14,450,1,0,17
투썸플레이스 인천주안점,인천 미추홀구 미추홀대로734번길 24,,9,2300,2300,1120000,32976,46.6,14907,30,450,0,0,34
투썸플레이스 인천청라중앙점,"인천 서구 청라커낼로288번길 10 더스페이스타워 106호,203호,204호",,9,4200,120000,1730000,27541,28.7,0,22,320,0,0,5
투썸플레이스 인천효성점,인천 계양구 새벌로 112 현대프라자 1층 108호,,9,3700,120000,330000,23731,34.6,0,10,390,2,0,6
투썸플레이스 청라더리브티아모점,인천 서구 중봉대로 490 1층 123호,,9,1600,26000,510000,2054,29.8,0,9,1020,0,0,5
투썸플레이스 청라솔빛로점,인천 서구 솔빛로 20 도영프라자 1층,,9,2400,8700,190000,14257,31.3,0,5,1110,0,0,3
투썸플레이스 청라시티타워점,"인천 서구 청라한내로72번길 23 쓰리엠파크 119,206호",,9,3400,39000,260000,11686,29.2,0,15,1100,0,0,2
투썸플레이스 홈플러스 작전점,인천 계양구 계양대로 27 1층,,9,5000,31000,400000,19508,34.2,0,13,390,1,0,6
