매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
메가MGC커피 경인교대입구역점,인천 계양구 계양대로 156 1층,,6,1900,2700,590000,24691,39.3,0,15,460,2,0,13
메가MGC커피 신포점,인천 중구 개항로 29-2 1-2층,,6,4100,4100,810000,7536,52,0,37,450,1,0,11
메가MGC커피 동인천북부역점,인천 동구 송현로 4 1층,,6,1900,7500,340000,24220,47.8,26792,14,390,0,0,9
메가MGC커피 부개역점,인천 부평구 수변로 8 파워프라자 1층 105호,,6,2000,20000,140000,17710,31.9,16226,9,490,1,0,14
메가MGC커피 강화도풍물시장점,인천 강화군 강화읍 중앙로 23 일석빌딩 1층,,6,3600,3600,330000,1871,41.5,0,3,10800,0,0,5
메가MGC커피 신기시장점,인천 미추홀구 인하로 271 1층,,6,2000,2000,1000000,34219,41.7,0,14,420,1,0,8
메가MGC커피 청라호수공원점,인천 서구 청라한내로100번길 24 1층 134호,,6,2400,28000,300000,11982,29.2,0,16,220,0,0,4
메가MGC커피 인천만수5동점,인천 남동구 구월로 314 1층,,6,1500,9000,340000,29745,38.6,0,9,400,0,0,32
메가MGC커피 송림현대시장점,인천 동구 샛골로 160 1층,,6,2000,2000,270000,14579,37.5,0,8,500,3,0,7
메가MGC커피 인천한림병원점,인천 계양구 장제로 717 준빌딩 1층 102호,,6,1700,2600,1100000,30607,35.6,0,13,500,3,0,15
메가MGC커피 영종운남점,인천 중구 관창로 2 1층 103~105호,,6,3600,4600,210000,7457,50.4,0,4,2300,2,0,6
메가MGC커피 인천원당점,인천 서구 고산후로95번길 18 리빙프라자 1층 106호,,6,2200,22000,580000,21993,25.8,0,18,350,1,0,16
메가MGC커피 영종하늘도시점,인천 중구 하늘중앙로195번길 14 이은스퀘어 상가 134호,,6,2800,140000,1500000,22406,30.2,0,26,400,0,0,21
메가MGC커피 인천북항점,인천 서구 북항로32번안길 9-19 힘찬프라자 1층 105호,,6,2800,10000,690000,118,35.3,0,8,1600,0,0,7
메가MGC커피 부평오거리점,인천 부평구 경원대로 1430 1층,,6,2000,2000,1950000,33461,44.9,13714,36,300,0,0,30
메가MGC커피 인천연수점,인천 연수구 먼우금로 190 연수프라자 1층 15호,,6,3200,47000,1400000,16119,39.1,0,27,350,1,0,35
메가MGC커피 가좌봉화초점,인천 서구 가정로 127 1층 101호,,6,2100,8900,710000,18340,45.3,0,8,330,1,0,8
메가MGC커피 인천가좌점,인천 서구 원적로 91 현대상가 1층 108호,,6,3400,28000,820000,29213,41,0,17,300,2,0,8
메가MGC커피 인천용현금호점,인천 미추홀구 낙섬서로 4 1층 102호,,6,3300,10000,390000,21169,35.9,0,12,430,0,0,9
메가MGC커피 검암점,인천 서구 승학로 470 스페이스아트타운 112호,,6,1700,19000,500000,14479,35.9,0,11,600,1,0,29
메가MGC커피 인천장기점,인천 계양구 장기로 32 1층,,6,800,1600,110000,7374,33.7,0,6,1800,2,0,10
메가MGC커피 인천만수향촌점,인천 남동구 만수서로 62 1층 101호,,6,2900,28000,430000,33894,37.5,0,16,600,3,0,4
메가MGC커피 인천시민공원역점,인천 미추홀구 경인로 363-1 1층,,6,1600,1600,840000,30395,47.3,17504,34,100,0,0,36
메가MGC커피 인천청천점,인천 부평구 마장로 385 1층,,6,1000,7500,600000,28990,28.9,0,21,270,2,0,13
메가MGC커피 부평갈산점,인천 부평구 주부토로 251 1층,,6,1300,8900,360000,16277,33.5,0,24,500,0,0,13
메가MGC커피 동암북부역점,인천 부평구 동암광장로 18 1층,,6,2000,7100,710000,24292,43.5,30424,24,170,0,0,38
메가MGC커피 인천서구경서점,인천 서구 도요지로 25 1층,,6,2500,11000,150000,9681,35.9,0,5,1300,1,0,6
메가MGC커피 부평시장역점,인천 부평구 부평대로 67-2 1층,,6,1300,2400,930000,36115,42.8,23442,33,270,3,0,30
메가MGC커피 청라센텀로제비앙점,인천 서구 비즈니스로 166 청라국제업무단지 센텀대광로제비앙 상가708동 113호,,6,1300,12000,40000,7108,31.3,0,2,500,1,0,0
메가MGC커피 계산중앙점,인천 계양구 경명대로 1138 1층,,6,2100,17000,660000,33080,45.1,0,12,500,2,0,16
메가MGC커피 인천차이나타운점,인천 중구 차이나타운로 25 1층,,6,700,4400,280000,6435,53.9,5931,21,270,1,1,2
메가MGC커피 인천정서진점,인천 서구 정서진5로 31 1층,,6,2200,2200,35000,3326,32.4,0,2,1200,0,0,1
메가MGC커피 갈산역점,인천 부평구 부평대로 283 부평우림라이온스밸리 A동 1층 106호,,6,2100,67000,210000,8234,36.7,15565,12,490,0,0,13
메가MGC커피 인천도림점,인천 남동구 논고개로 331 1층,,6,2100,21000,100000,8186,38.1,0,6,1800,1,0,8
메가MGC커피 청라커낼점,인천 서구 청라커낼로329번길 19-3 1층,,6,1200,5600,320000,24810,28.7,0,14,600,3,0,1
메가MGC커피 인천구월점,인천 남동구 인주대로 539 1층,,6,2600,11000,340000,20264,48.7,0,16,430,1,0,22
메가MGC커피 인천남동구청점,"인천 남동구 장승로 21 장승백이상가 1층 106, 107호",,6,2700,5100,480000,22219,45.5,7815,21,450,3,0,25
메가MGC커피 인천가좌공단점,인천 서구 건지로 144-1 1층,,6,1100,1100,100000,5691,45.5,0,15,1200,0,0,0
메가MGC커피 인천학익신동아점,인천 미추홀구 매소홀로 476 1층,,6,3600,5200,170000,23954,40.5,0,2,550,2,0,8
메가MGC커피 인하대점,인천 미추홀구 경인남길30번길 50 1층,,6,1200,5000,360000,12589,46.1,0,5,500,3,0,6
메가MGC커피 송도씨워크점,인천 연수구 센트럴로 313 송도씨워크인테라스한라 1층 C155~C156호,,6,1700,51000,240000,190,18.6,3087,34,250,0,0,5
메가MGC커피 인천법원점,인천 미추홀구 소성로185번길 16-5 1층,,6,2000,5300,410000,20582,37.5,0,13,280,1,0,51
메가MGC커피 계양구청점,인천 계양구 계산새로 93 1층 105호,,6,2500,63000,1060000,30206,37.8,0,35,350,1,0,32
메가MGC커피 인천산곡한신휴점,인천 부평구 마장로220번길 13 1층,,6,2400,17000,220000,24150,26.4,0,6,650,1,0,9
메가MGC커피 인천상야점,인천 계양구 벌말로 570 1층,,6,2000,3400,86000,262,26.9,0,2,2100,1,0,1
메가MGC커피 인천서구청점,인천 서구 탁옥로51번길 2 순남빌딩 1층 5호,,6,2500,13000,700000,21878,39.7,14639,21,400,0,0,33
메가MGC커피 송도퍼스트파크점,인천광역시 연수구 컨벤시아대로230번길 42,,6,1400,93000,400000,15765,24.9,0,15,750,0,0,1
메가MGC커피 인천용현SK점,인천 미추홀구 독배로317번길 23-1 금종빌딩 1층,,6,2800,2800,480000,19893,42.9,13298,15,700,3,0,3
메가MGC커피 인천나은병원점,인천 서구 원적로 29 1층,,6,1900,6300,160000,23449,40.1,0,12,530,3,0,1
메가MGC커피 인천연희점,인천 서구 승학로 319 1층,,6,1300,1600,140000,15107,40.1,8252,9,350,2,0,20
메가MGC커피 제물포남부역점,인천 미추홀구 수봉로 7 제물포아파트 3동 1층 102호,,6,2300,7800,430000,20696,41.8,20148,6,180,4,0,9
메가MGC커피 부평기적의도서관점,인천 부평구 길주남로 175 상우신명보람아파트 1층 107~108호,,6,1500,14000,200000,20820,24.6,11291,7,700,2,0,5
메가MGC커피 인천장제로점,인천 부평구 장제로 388 1층,,6,1100,2500,420000,21592,33.1,0,3,330,1,0,12
메가MGC커피 송도하버뷰점,인천 연수구 해돋이로 168-5 송정프라자 1층 102호,,6,2200,30000,1320000,25998,26.9,0,32,330,1,0,14
메가MGC커피 부평제이타워점,인천 부평구 부평대로 337 1층 1-11호,,6,1100,22000,81000,8453,34.3,0,3,440,0,0,10
메가MGC커피 부평그랑힐스점,인천 부평구 산청로 97 3동 1층 307호,,6,1300,140000,170000,25469,32.3,0,9,270,0,0,7
메가MGC커피 청라심곡천점,인천 서구 보석로11번안길 11 1층,,6,1400,1400,130000,5950,31.3,0,8,700,0,0,0
메가MGC커피 호구포역점,인천 남동구 논현로26번길 15 위스코프라자 1층 102호,,6,2600,6800,390000,11781,35.8,7459,21,1200,0,0,8
메가MGC커피 인천공촌점,인천 서구 심곡로 195 1층,,6,2000,6600,120000,12801,45.6,0,2,400,1,0,5
메가MGC커피 월미도점,"인천 중구 월미로234번길 12 1층 102,103호",,6,3100,15000,200000,688,54.2,0,9,1700,0,0,1
메가MGC커피 주안신성점,인천 미추홀구 주안중로 29,,6,3200,5500,940000,32601,47.3,17504,28,310,1,0,40
메가MGC커피 검단로제비앙점,인천 서구 서로3로 277 B2층 208호,,6,12000,22000,120000,18255,26.2,0,6,500,2,0,0
메가MGC커피 산곡고점,인천 부평구 부영로189번길 51 오남프라자 123호,,6,2600,93000,520000,40578,33.5,0,12,350,1,0,10
메가MGC커피 선학역점,인천 연수구 학나래로46번길 22 1층,,6,2900,2900,370000,15872,44.2,11234,13,900,1,0,28
메가MGC커피 부평금호점,인천 부평구 원길로 17 승진빌딩 1층,,6,2900,6300,580000,36738,33.5,0,10,350,1,0,11
메가MGC커피 인천인주대로점,인천 미추홀구 인주대로 175 1층,,6,2200,2200,100000,17685,44.7,0,7,470,0,0,5
메가MGC커피 영종넙디점,인천 중구 운서2로68번길 33 1층,,6,3500,3900,180000,10091,59,0,5,700,0,0,3
메가MGC커피 인천부평공고점,"인천 부평구 갈월서로 46 상가동 1층 103, 104호",,6,1800,2800,120000,21229,42,0,5,500,4,0,5
메가MGC커피 인천문학점,인천 미추홀구 소성로 334 1층,,6,2800,4900,190000,13782,43.6,0,8,830,1,0,3
메가MGC커피 인천불로중앙점,인천 서구 검단로768번1길 11-8 1층 103호,,6,4000,6600,120000,11813,31.2,0,6,780,1,0,7
메가MGC커피 인천청학점,인천 연수구 청학로 10 대성빌딩 1층,,6,1600,1600,110000,13458,39.7,0,4,520,0,0,3
메가MGC커피 인천문일여고점,인천 남동구 구월로372번길 93 1층 1호,,6,4000,8500,290000,19890,44.6,0,16,480,1,0,30
메가MGC커피 부평북부역점,인천 부평구 경원대로 1366 스테이션타워 110호,,6,2200,50000,1450000,24157,43.2,13714,36,270,1,0,50
메가MGC커피 논현소래광장점,"인천 남동구 소래역남로16번길 8-7 1층 113호,114호",,6,2800,25000,660000,19680,35.9,10422,17,270,0,0,10
메가MGC커피 남동인더스파크역점,인천 남동구 은청로 4-7 A동 1층 147호,,6,1800,16000,220000,602,35.8,4168,15,270,0,0,8
