매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
더벤티 석남역점,인천 서구 길주로 79 1층 106호,,8,800,15000,400000,22892,45,0,13,630,0,0,21
더벤티 영종하늘도시점,인천 중구 자연대로 47 1층 116호,,8,1700,120000,1360000,26429,30.2,0,30,350,0,0,21
더벤티 부평마이빌점,인천 부평구 부평대로 102 108호,,8,800,14000,860000,43183,44.5,23442,28,300,3,0,20
더벤티 부평그랑힐스점,인천 부평구 산청로 97 상가3동 1층 304호,,8,1100,140000,170000,25469,32.3,0,9,320,1,0,7
더벤티 서구가정점,인천 서구 청중로 486 부일프라자 1층 104호,,8,600,4300,280000,20274,32.3,0,8,600,2,0,6
더벤티 영종별빛광장점,인천 중구 하늘별빛로65번길 17 티엠티타워 1층 102호,,8,800,7200,1220000,19197,30.2,0,22,330,0,0,11
더벤티 청라커낼에비뉴점,인천 서구 청라에메랄드로 79 1층 B18호,,8,900,110000,1270000,19410,28.7,0,32,400,1,0,5
더벤티 인천용현금호점,인천 미추홀구 매소홀로 63 1층 105호,,8,700,9300,390000,20796,35.9,0,12,430,0,0,9
더벤티 검단아라점,인천 서구 이음1로 389 107호,,8,800,16000,600000,19981,25.1,0,21,460,0,0,3
더벤티 인천송도점,인천 연수구 신송로125번길 7 이리옴프라자 107호,66,8,1900,88000,1620000,22487,26.9,0,38,600,1,0,9
더벤티 인하대헤리움점,인천 미추홀구 용정공원로83번길 49 메트로타워 1층 142호,,8,900,120000,500000,17196,42.9,13298,16,530,3,0,4
더벤티 송도푸르지오시티점,인천 연수구 아트센터대로 203 송도센트럴파크푸르지오시티 151호,,8,700,65000,400000,5492,18.6,0,26,1100,0,0,7
더벤티 송도하버뷰점,인천 연수구 해돋이로 168,,8,600,35000,1490000,25579,26.9,0,38,600,1,0,14
더벤티 부평시장점,인천 부평구 대정로 28 퍼스트프라임 1층 102호,,8,600,45000,1460000,35623,46.9,23442,57,460,1,0,39
더벤티 인천마전점,인천 서구 완정로 43 마전프라자 1층 103호,,8,1100,36000,470000,22550,35,7444,13,530,1,0,20
더벤티 인하대점,인천 미추홀구 인하로77번길 25 1층,,8,600,2100,360000,14529,46.1,0,34,1000,3,0,6
더벤티 청라더휴점,인천 서구 청라한내로 40 1층 106호,,8,700,10000,45000,14797,29.2,0,1,580,4,0,0
더벤티 청라린점,인천 서구 청라라임로 85 청라린스트라우스 B동 125호,,8,1000,93000,780000,29994,28.7,0,17,410,1,0,8
더벤티 인천성모병원점,인천 부평구 육동로 3 2동 1층 102호,,8,800,6300,280000,21747,44.7,0,16,430,0,0,30
더벤티 청라포스코점,인천 서구 크리스탈로74번길 31 월드프라자 113호,,8,700,39000,500000,19917,27.6,0,17,580,0,0,7
더벤티 연수선학점,인천 연수구 학나래로118번길 48 상원빌딩 1층,,8,600,5500,380000,14757,44.2,11234,13,1700,1,0,30
더벤티 산곡역점,인천 부평구 길주로364번길 9 상가동 117호,,8,500,26000,190000,24160,28.5,17060,10,600,2,0,8
더벤티 인천송도점,인천 연수구 신송로125번길 7 이리옴프라자 107호,66,8,1900,88000,1620000,22487,26.9,0,38,600,1,0,9
더벤티 인하대헤리움점,인천 미추홀구 용정공원로83번길 49 메트로타워 1층 142호,,8,900,120000,500000,17196,42.9,13298,16,530,3,0,4
더벤티 송도푸르지오시티점,인천 연수구 아트센터대로 203 송도센트럴파크푸르지오시티 151호,,8,700,65000,400000,5492,18.6,0,26,1100,0,0,7
더벤티 송도하버뷰점,인천 연수구 해돋이로 168,,8,600,35000,1490000,25579,26.9,0,38,600,1,0,14
더벤티 부평시장점,인천 부평구 대정로 28 퍼스트프라임 1층 102호,,8,600,45000,1460000,35623,46.9,23442,57,460,1,0,39
더벤티 인천마전점,인천 서구 완정로 43 마전프라자 1층 103호,,8,1100,36000,470000,22550,35,7444,13,530,1,0,20
더벤티 인하대점,인천 미추홀구 인하로77번길 25 1층,,8,600,2100,360000,14529,46.1,0,34,1000,3,0,6
더벤티 청라더휴점,인천 서구 청라한내로 40 1층 106호,,8,700,10000,45000,14797,29.2,0,1,580,4,0,0
더벤티 청라린점,인천 서구 청라라임로 85 청라린스트라우스 B동 125호,,8,1000,93000,780000,29994,28.7,0,17,410,1,0,8
더벤티 인천성모병원점,인천 부평구 육동로 3 2동 1층 102호,,8,800,6300,280000,21747,44.7,0,16,430,0,0,30
더벤티 청라포스코점,인천 서구 크리스탈로74번길 31 월드프라자 113호,,8,700,39000,500000,19917,27.6,0,17,580,0,0,7
더벤티 연수선학점,인천 연수구 학나래로118번길 48 상원빌딩 1층,,8,600,5500,380000,14757,44.2,11234,13,1700,1,0,30
더벤티 산곡역점,인천 부평구 길주로364번길 9 상가동 117호,,8,500,26000,190000,24160,28.5,17060,10,600,2,0,8
더벤티 인천도화금강점,인천 미추홀구 염전로202번길 63 104호,,8,1100,5500,130000,12446,37.9,0,7,500,5,0,0
더벤티 인천완정점,인천 서구 완정로 8 영진빌딩 1층,,8,1000,7000,900000,28626,34.7,13276,21,250,0,0,40
더벤티 인천당하점,인천 서구 청마로167번길 4 1층 103호,,8,1000,6300,410000,26383,30.8,13276,13,300,1,0,16
더벤티 송도랜드마크시티점,인천 연수구 랜드마크로 68 랜드마크시티센트럴더샵 상가 1층 58호,,8,900,250000,280000,26406,21,0,8,580,0,0,0
더벤티 인천대성베르힐점,인천 서구 새오개로111번안길 32 1층 104호,,8,900,900,110000,23532,32.3,0,5,650,3,0,10
더벤티 인천불로점,인천 서구 검단로768번1길 11-6 1층 101호,,8,900,7600,300000,12553,31.2,0,6,1700,1,0,7
더벤티 인천용현점,인천 미추홀구 토금남로 53 한양아파트 상가 107호,,8,2000,16000,480000,31786,38.6,0,25,430,1,0,5
더벤티 연안부두점,인천 중구 연안부두로 16 해양센타상가 1층 11호,,8,400,32000,250000,3257,54.8,0,7,2000,0,1,6
더벤티 2001아울렛부평점,인천 부평구 경원대로 1277 1층,,8,800,230000,370000,21079,39.9,0,6,600,0,0,11
더벤티 인천시티오씨엘점,인천 미추홀구 학익로 116 시티오씨엘1단지 상가동 1층 16호,,8,1500,23000,63000,4611,34.6,0,1,800,1,0,0
더벤티 부평역사점,인천 부평구 광장로 16 지하1층 19호,,8,700,560000,1710000,27756,46.1,13714,44,270,1,0,20
더벤티 부평굴다리점,인천 부평구 부일로 16 헤르메스아파트2동 104호,,8,500,2800,290000,40424,43,0,13,350,1,0,26
더벤티 인천만수로데오점,인천 남동구 장승남로 61 인일프라자 1층 103호,,8,1500,8100,650000,21447,42.7,0,22,2100,1,0,19
더벤티 인천옥련시장점,인천 연수구 독배로40번길 11 효명프라자 1층 102호,,8,1600,18000,700000,27140,32.9,0,11,1800,3,0,21
더벤티 인천삼산점,인천 부평구 체육관로 40 신영프라자 1층 108호,,8,800,45000,880000,27779,35.4,0,23,530,1,0,27
더벤티 인천신현원창점,인천 서구 원창로 180 1층,,8,400,1600,390000,31762,36.5,0,12,640,3,0,10
더벤티 인천라피에스타점,인천 남동구 논고개로 61,,8,1200,3600,680000,28716,36.5,0,20,630,1,0,8
