매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
빽다방 부평금호점,인천 부평구 원길로 34,,7,2600,21000,9900,29426,38.3,0,11,470,0,0,10
빽다방 인천효성명현점,인천 계양구 안남로 548 1층,,7,1800,67000,8900,26719,34.1,0,14,550,2,0,11
빽다방 송도글로벌1호점,인천 연수구 송도문화로28번길 28 글로벌캠퍼스푸르지오상가 204동 1층 4-130호,,7,2000,280000,9800,27175,33.6,0,9,870,1,0,0
빽다방 주안센트레빌점,"인천 미추홀구 석정로 440 1층 101,102호",,7,2400,2200,13000,29282,49.1,14907,14,430,0,0,19
빽다방 소래포구한화점,인천 남동구 소래역남로 12 거목프라자 1층 105호,,7,700,2800,1100,19137,35.7,10422,15,700,0,1,10
빽다방 백운현대점,인천 부평구 경원대로 1238 이화빌딩 1층,,7,1200,1200,6200,26820,40,14210,7,1200,2,0,13
빽다방 인천삼산미래타운점,인천 부평구 부평북로 442 삼산프라자 1층 103호,,7,1500,27000,5300,26332,30.8,0,6,800,3,0,8
빽다방 인천가좌점,인천 서구 원적로 96 1층,,7,1900,50000,29000,29431,39.1,0,19,280,2,0,8
빽다방 인천논현에코점,인천 남동구 에코중앙로156번길 2 1층,,7,2000,2100,6900,15127,28.4,0,6,725,2,0,1
빽다방 인천신기시장점,인천 미추홀구 인하로 259 1층 105호,,7,3000,12000,8400,35283,41.7,0,15,530,1,0,6
빽다방 인천송림아이원점,인천 동구 송미로 7 1층,,7,2400,8900,6400,13297,38.3,0,5,530,1,0,0
빽다방 인천산곡푸르지오점,인천 부평구 안남로 261 112호,,7,2000,48000,13000,37890,28.1,0,11,550,3,0,3
빽다방 인천구월CGV점,인천 남동구 예술로 198 1층 200호,,7,2500,430000,37000,20277,43.9,20963,28,660,0,0,45
빽다방 인천남동초교점,인천 남동구 장승남로 41 1층 101호,,7,1300,11000,24000,22290,42.6,0,24,1350,1,0,19
빽다방 인천청라휴먼시아점,인천 서구 청라커낼로233번길 4 1층,,7,900,1000,13000,22222,28.7,0,17,350,2,0,3
빽다방 인천학익점,인천 미추홀구 매소홀로 355 학익프라자 106호,,7,3500,92000,11000,21574,34.3,0,8,400,2,0,3
빽다방 인천논현역2호점,인천 남동구 논고개로123번길 17 아이플렉스 1층 134-1호,,7,1500,140000,37000,19837,36.4,10978,29,300,0,0,22
빽다방 인천만수1호점,인천 남동구 만수로 59 1층,,7,1000,3400,16000,35196,34.4,0,18,750,3,0,3
빽다방 영종하늘달빛점,인천 중구 하늘달빛로 94 1층 120호,,7,2200,71000,22000,21297,37.1,0,21,520,0,0,18
빽다방 송도캐슬파크점,인천 연수구 하모니로138번길 11 102동 151호,23,7,2000,220000,49000,8947,25.4,14271,29,700,1,0,12
빽다방 인천청라커낼점,인천 서구 청라커낼로260번길 15 청라스파렉스 112호,,7,1600,54000,21000,26821,28.7,0,21,350,0,0,4
빽다방 부평보건소점,인천 부평구 부흥로293번길 8 1층 102호,,7,800,3500,36000,41447,46.9,23442,32,470,1,0,25
빽다방 부평북부역점,인천 부평구 경원대로 1366 1층,,7,2000,81000,44000,24157,43.2,13714,36,340,2,0,37
빽다방 인천더블유병원점,인천 미추홀구 인주대로 410 탑클래시아 1층 104호,,7,1500,10000,14000,28389,41.8,0,12,550,1,0,10
빽다방 영종하늘도시점,인천 중구 하늘별빛로 75 1층,,7,2600,22000,23000,20533,30.1,0,22,550,0,0,10
빽다방 청라호수공원점,인천 서구 청라루비로 99 105호,,7,1700,28000,14000,19696,27.6,0,23,490,0,0,7
