매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
파리바게뜨 청라초교점,인천 서구 청라에메랄드로 134 호반베르디움 상가동 1층 101호,,2,2100,19000,31000,14133,37.3,0,3,500,3,0,7
파리바게뜨 가정베르힐점,인천 서구 새오개로111번안길 27 101호,,2,3400,4600,110000,21793,32.3,0,0,550,6,0,49
파리바게뜨 검단로데오점,인천 서구 이음5로 30 연세프라자 9차 1층 108~109호,,2,3500,45000,880000,17719,25.8,0,7,480,0,0,4
파리바게뜨 삼산주공점,"인천 부평구 충선로 313 104,105호",,2,2500,3600,8500,29216,33.4,0,4,840,1,0,14
파리바게뜨 인천숭의점,인천 미추홀구 독배로 433 103호,,2,2900,3600,15000,29173,50.6,0,9,570,0,0,11
파리바게뜨 석바위점,인천 미추홀구 경인로 436 1층,,2,3600,4600,88000,24327,49.1,7867,8,200,2,0,38
파리바게뜨 부평롯데마트점,인천 부평구 마장로 310 롯데프라자,,2,4900,16000,22000,30145,28.1,17060,2,480,3,0,13
파리바게뜨 인천길병원점,인천 남동구 구월남로 172,,2,9100,30000,170000,40449,43.1,8258,7,410,2,0,70
파리바게뜨 부평삼산점,"인천 부평구 체육관로 30 이리옴프라자 1층 101,102호",,2,5900,34000,790000,28385,37.4,18509,8,910,1,0,39
파리바게뜨 서창휴먼시아점,인천 남동구 서창남로 16-42,,2,3500,8300,120000,10870,35.7,0,5,380,2,0,14
파리바게뜨 연수대동점,인천 연수구 용담로149번길 17 대동월드 스포츠센타 1층,,2,2300,2800,300000,23109,39.1,4902,13,500,3,0,18
파리바게뜨 아주쌍용점,인천 연수구 청량로 210 1층,,2,3800,6000,11000,21688,40.9,4698,2,630,4,0,12
파리바게뜨 인천희망점,인천 남동구 석산로 157,,2,3900,10000,200000,31391,44,8258,10,190,2,0,36
파리바게뜨 부개부일점,인천 부평구 동수로126번길 3,,2,3500,4100,25000,22059,42.2,0,3,750,2,0,26
파리바게뜨 청라루비점,인천 서구 청라루비로 99 106~107호,,2,4300,40000,78000,19696,27.6,0,2,490,1,0,8
파리바게뜨 부개점,인천 부평구 길주남로 159 1층,,2,5400,9500,110000,25246,30.1,11291,7,610,7,0,21
파리바게뜨 인천가좌점,"인천 서구 원적로 99 1층 105, 106호",,2,5400,14000,180000,28258,39.1,0,11,300,3,0,13
파리바게뜨 청라제일점,인천 서구 청라커낼로319번길 3-1 1층,,2,3400,3800,76000,26866,28.6,0,6,500,3,0,4
파리바게뜨 가좌진주점,인천 서구 장고개로337번길 18-3 영프라자 1층 109호,,2,4200,110000,180000,30894,37.4,0,11,300,8,0,9
파리바게뜨 부평동아점,인천 부평구 부흥로 247,,2,5500,5500,36000,38036,40.3,23442,3,500,3,0,28
파리바게뜨 인천송림점,인천 동구 샛골로 159 1층,,2,3100,3200,23000,13724,37.5,0,10,560,4,0,7
파리바게뜨 모래내시장점,인천 남동구 구월남로 278 1층,,2,1600,1900,100000,29550,40.7,14378,15,400,2,0,40
파리바게뜨 용현금호점,인천 미추홀구 매소홀로 71,,2,1700,2300,6200,21514,35.9,0,3,300,0,0,10
파리바게뜨 강남시장점,인천 서구 가정로308번길 2 1층,,2,2200,2400,48000,30873,38.1,0,9,630,1,0,23
파리바게뜨 인천서창점,인천 남동구 장아산로190번길 10-18,,2,5600,6800,29000,14535,33.7,0,4,890,2,0,7
파리바게뜨 부평산곡점,"인천 부평구 마장로242번길 19 비이에스타 1층 114,115호",,2,4800,44000,62000,28728,26.4,0,6,630,3,0,11
파리바게뜨 주안제일점,인천 미추홀구 제일로 38,,2,4000,8300,62000,25386,48.3,0,6,600,0,0,25
파리바게뜨 계양은행점,인천 계양구 용종로 8,,2,4300,30000,55000,26686,38.7,0,4,500,4,0,29
파리바게뜨 청라수변공원점,인천 서구 청라라임로 71,,2,4100,75000,450000,27001,28.7,0,11,360,0,0,13
파리바게뜨 연수유천점,인천 연수구 비류대로 429 1층,,2,4400,6400,18000,11401,47.7,0,8,620,2,0,8
파리바게뜨 만수하이웨이점,인천 남동구 구월로 369 1층,,2,4300,7800,40000,28723,40.9,9023,2,380,1,0,38
파리바게뜨 송도랜드마크시티점,"인천 연수구 랜드마크로 68 랜드마크시티더샵 상가1층 90,91호",,2,5600,250000,340000,25256,21,0,4,530,0,0,0
파리바게뜨 풍림한라점,인천 남동구 포구로 64-5 가동 1층 102~104호,,2,4300,8000,270000,19966,33,10422,4,510,0,0,9
파리바게뜨 만수삼환점,인천 남동구 하촌로19번길 5,,2,3800,3800,14000,20462,44.6,7815,3,550,1,0,42
파리바게뜨 만수시장점,인천 남동구 만수로 45,,2,4600,13000,72000,35354,37.5,0,10,580,5,0,9
파리바게뜨 인하대점,인천 미추홀구 인하로 69-2,,2,2800,4400,320000,12854,46.1,0,0,960,3,0,6
파리바게뜨 송도포스코점,인천 연수구 해돋이로 107 포스코퍼스트월드 H-4호,60,2,5200,170000,320000,16039,26.9,0,4,410,0,0,19
파리바게뜨 연수마그넷점,"인천 연수구 청능대로 93 이리움프라자 1층 107,108호",,2,5700,49000,130000,16988,39.1,9591,5,470,5,0,38
파리바게뜨 백운현대점,인천 부평구 화랑남로 1,,2,5100,5100,8500,20959,29.6,0,3,600,2,0,12
파리바게뜨 서구경서점,"인천 서구 도요지로 17 103, 104호",,2,3400,8400,150000,9266,35.9,0,2,2000,1,1,6
파리바게뜨 숭의로터리점,인천 미추홀구 독배로 494,,2,3900,3900,9700,29004,44,0,2,570,0,0,22
파리바게뜨 카페계산점,인천 계양구 경명대로 1138,,2,2100,17000,660000,33625,45.1,18773,5,430,4,0,19
파리바게뜨 인천용현점,인천 미추홀구 낙섬중로32번길 10 1층,,2,3500,8200,53000,29889,38.6,0,16,340,4,0,16
파리바게뜨 부평역남부점,인천 부평구 경인로 951,,2,4300,8200,900000,26317,44.7,13714,6,460,2,0,65
파리바게뜨 검단모아미래도점,"인천 서구 서로3로 50 엘리트파트아파트 상가 1층 224,225호",,2,5300,120000,210000,25455,27.3,0,0,640,3,0,0
파리바게뜨 학익법원점,인천 미추홀구 매소홀로 419,,2,4000,9500,13000,13054,36.1,0,2,30,4,0,56
파리바게뜨 영종하늘점,인천 중구 운남로 150 1층 104~106호,,2,3000,5600,6900,7504,50.4,0,3,2480,2,0,6
파리바게뜨 갈산마을점,인천 부평구 주부토로 179,,2,3500,11000,54000,23004,38.4,12343,5,460,4,0,13
파리바게뜨 부개주공점,인천 부평구 부흥로 414,,2,4400,16000,170000,33453,34.5,0,0,440,5,0,15
파리바게뜨 연수영남점,인천 연수구 새말로107번길 6 영남아파트상가 1층 103호,,2,4500,22000,25000,18451,48.5,9591,3,550,3,0,14
파리바게뜨 부평갈산점,인천 부평구 주부토로 231 홈프라자 1층 113호,,2,2000,27000,170000,21295,33.5,15565,5,290,0,0,24
파리바게뜨 인천터미널점,인천 남동구 문화로 59 1층,,2,3300,5800,190000,16063,56.3,26289,6,260,3,0,39
파리바게뜨 구월점,인천 남동구 구월로 278-1,,2,3400,6500,88000,34180,40.4,14378,6,400,1,0,28
파리바게뜨 인천원당점,인천 서구 원당대로 860 보람프라자 101~102호,,2,4100,9400,100000,21846,25.8,0,5,1080,1,0,17
파리바게뜨 마전점,인천 서구 완정로 36 한성빌딩 1층,,2,3400,11000,250000,23769,35.8,7444,12,300,1,0,41
파리바게뜨 계양현대점,인천 계양구 아나지로417번길 21 도을빌딩 1층,,2,4600,5200,26000,30691,33.6,0,7,400,1,0,15
파리바게뜨 인천문학점,인천 미추홀구 소성로 328 문학라이프 9호,,2,2300,3000,4700,14043,42.7,0,3,1110,1,0,3
파리바게뜨 선학역점,"인천 연수구 선학로 101 뉴서울아파트 상가 101,101-1호",,2,3700,19000,25000,13085,41.7,11234,2,160,1,0,13
파리바게뜨 만수중앙점,인천 남동구 백범로 212,,2,1800,5100,6800,37938,37.7,0,3,600,3,0,24
파리바게뜨 경인여대점,인천 계양구 경명대로 1051-1 1층,,2,2700,3200,12000,26452,48.4,18773,5,400,1,0,23
파리바게뜨 백운힐스테이트점,인천 부평구 이규보로 135 1층,,2,2600,3300,11000,19127,42.1,14210,3,580,3,0,18
파리바게뜨 효성아이파크점,인천 계양구 새벌로 120 대산상가 1층,,2,4100,26000,150000,23835,34.1,0,5,560,2,0,8
파리바게뜨 인천관교점,인천 미추홀구 주승로 242 1층,,2,1000,1000,6300,12625,53.5,0,2,430,4,0,10
파리바게뜨 인천송현점,인천 동구 송현로 47 1층,,2,3500,5600,35000,21803,45.5,0,2,450,1,0,7
파리바게뜨 부평GM점,인천 부평구 원적로432번길 10,,2,5600,140000,260000,41206,33.5,0,7,440,2,0,15
파리바게뜨 청라국제도시점,인천 서구 청라에메랄드로 78 딜라이트타워 1차 108호,,2,4100,23000,250000,18822,32.2,0,7,450,3,0,10
파리바게뜨 송도캠퍼스타운점,"인천 연수구 송도과학로27번길 55 송도캠퍼스타운애비뉴 D동 115호,116호",,2,5600,190000,230000,16153,30.9,10565,2,1140,2,0,0
파리바게뜨 검단신도시1호점,인천 서구 이음5로 80 103~104호,,2,8400,37000,73000,20426,25.1,0,3,510,1,0,5
파리바게뜨 인천효성점,인천 계양구 안남로 563,,2,3000,4000,11000,21192,38.9,0,4,560,3,0,12
파리바게뜨 학익랜드마크점,인천 미추홀구 소성로 115,,2,3400,3400,110000,21051,44.4,0,6,300,3,0,14
파리바게뜨 간석풍림점,인천 미추홀구 석산로 12 뉴스타빌딩 1층,,2,5500,9500,76000,31812,46.2,10927,5,310,3,0,34
파리바게뜨 동암역더샵점,"인천 부평구 열우물로 90 더샵부평센트럴시티 상가 F동 1층 113, 114호",,2,4700,130000,120000,30496,43.4,30424,3,470,2,0,28
파리바게뜨 청라국제업무단지점,"인천 서구 청라한내로100번길 24 쓰리엠파크2상가 107,108호",,2,4300,28000,300000,11982,29.2,0,3,880,0,0,4
파리바게뜨 청라휴먼시아점,인천 서구 청라커낼로 231,,2,3000,3000,140000,22139,28.7,0,5,670,1,0,4
